U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,,,,,
0.1055,97744,1,12.75,15,12.75,0.095625,,,,,
0.12816,98225,1,12.813,15,12.812,0.096094,,,,,
0.15175,98705,1,12.875,15,12.875,0.096563,,,,,
0.17612,99185,1,12.938,15,12.938,0.097031,,,,,
0.20129,99666,1,13,15,13,0.0975,,,,,
0.22705,100146,1,13.063,15,13.062,0.097969,,,,,
0.25335,100627,1,13.125,15,13.125,0.098438,,,,,
0.28007,101107,1,13.188,15,13.188,0.098906,,,,,
0.30707,101588,1,13.25,15,13.25,0.099375,,,,,
0.33425,102068,1,13.313,15,13.312,0.099844,,,,,
0.36147,102548,1,13.375,15,13.375,0.10031,,,,,
0.38859,103029,1,13.438,15,13.438,0.10078,,,,,
0.41549,103509,1,13.5,15,13.5,0.10125,,,,,
0.44203,103990,1,13.563,15,13.562,0.10172,,,,,
0.46806,104470,1,13.625,15,13.625,0.10219,,,,,
0.49349,104950,1,13.688,15,13.688,0.10266,,,,,
0.51813,105431,1,13.75,15,13.75,0.10313,,,,,
0.5419,105911,1,13.813,15,13.812,0.10359,,,,,
0.56467,106392,1,13.875,15,13.875,0.10406,,,,,
0.5863,106872,1,13.938,15,13.938,0.10453,,,,,
0.60675,107353,1,14,15,14,0.105,,,,,
0.6258,107833,1,14.063,15,14.062,0.10547,,,,,
0.6435,108313,1,14.125,15,14.125,0.10594,,,,,
0.65965,108794,1,14.188,15,14.188,0.10641,,,,,
0.67427,109274,1,14.25,15,14.25,0.10688,,,,,
0.68727,109755,1,14.313,15,14.312,0.10734,,,,,
0.69857,110235,1,14.375,15,14.375,0.10781,,,,,
0.70823,110716,1,14.438,15,14.438,0.10828,,,,,
0.71606,111196,1,14.5,15,14.5,0.10875,,,,,
0.72226,111676,1,14.563,15,14.562,0.10922,,,,,
0.72663,112157,1,14.625,15,14.625,0.10969,,,,,
0.72934,112637,1,14.688,15,14.688,0.11016,,,,,
0.73033,113118,1,14.75,15,14.75,0.11063,,,,,
0.72966,113598,1,14.813,15,14.812,0.11109,,,,,
0.72741,114079,1,14.875,15,14.875,0.11156,,,,,
0.72354,114559,1,14.938,15,14.938,0.11203,,,,,
0.71827,115039,1,15,15,15,0.1125,,,,,
0.71148,115520,1,15.063,15,15.062,0.11297,,,,,
0.70344,116000,1,15.125,15,15.125,0.11344,,,,,
0.6941,116481,1,15.188,15,15.188,0.11391,,,,,
0.68365,116961,1,15.25,15,15.25,0.11438,,,,,
0.67214,117442,1,15.313,15,15.312,0.11484,,,,,
0.65967,117922,1,15.375,15,15.375,0.11531,,,,,
0.64639,118403,1,15.438,15,15.438,0.11578,,,,,
0.63234,118883,1,15.5,15,15.5,0.11625,,,,,
0.6177,119364,1,15.563,15,15.562,0.11672,,,,,
0.6025,119844,1,15.625,15,15.625,0.11719,,,,,
0.58692,120324,1,15.688,15,15.688,0.11766,,,,,
0.57101,120805,1,15.75,15,15.75,0.11813,,,,,
0.5549,121285,1,15.813,15,15.812,0.11859,,,,,
0.53868,121766,1,15.875,15,15.875,0.11906,,,,,
0.52244,122246,1,15.938,15,15.938,0.11953,,,,,
0.50626,122727,1,16,15,16,0.12,,,,,
0.49024,123207,1,16.063,15,16.062,0.12047,,,,,
0.47444,123688,1,16.125,15,16.125,0.12094,,,,,
0.45895,124168,1,16.188,15,16.188,0.12141,,,,,
0.44381,124649,1,16.25,15,16.25,0.12188,,,,,
0.4291,125129,1,16.313,15,16.312,0.12234,,,,,
0.41484,125610,1,16.375,15,16.375,0.12281,,,,,
0.40111,126090,1,16.438,15,16.438,0.12328,,,,,
0.38791,126571,1,16.5,15,16.5,0.12375,,,,,
0.37532,127051,1,16.563,15,16.562,0.12422,,,,,
0.36331,127531,1,16.625,15,16.625,0.12469,,,,,
0.35195,128012,1,16.688,15,16.688,0.12516,,,,,
0.3412,128492,1,16.75,15,16.75,0.12562,,,,,
0.33112,128973,1,16.813,15,16.812,0.12609,,,,,
0.32165,129453,1,16.875,15,16.875,0.12656,,,,,
0.31286,129934,1,16.938,15,16.938,0.12703,,,,,
0.30467,130414,1,17,15,17,0.1275,,,,,
0.29713,130895,1,17.063,15,17.062,0.12797,,,,,
0.29017,131375,1,17.125,15,17.125,0.12844,,,,,
0.28382,131856,1,17.188,15,17.188,0.12891,,,,,
0.27802,132336,1,17.25,15,17.25,0.12938,,,,,
0.27279,132817,1,17.313,15,17.312,0.12984,,,,,
0.26805,133297,1,17.375,15,17.375,0.13031,,,,,
0.26383,133778,1,17.438,15,17.438,0.13078,,,,,
0.26006,134258,1,17.5,15,17.5,0.13125,,,,,
0.25674,134739,1,17.563,15,17.562,0.13172,,,,,
0.25382,135219,1,17.625,15,17.625,0.13219,,,,,
0.2513,135700,1,17.688,15,17.688,0.13266,,,,,
0.24912,136180,1,17.75,15,17.75,0.13313,,,,,
0.24728,136661,1,17.813,15,17.812,0.13359,,,,,
0.24574,137141,1,17.876,15,17.875,0.13406,,,,,
0.24449,137622,1,17.938,15,17.938,0.13453,,,,,
0.24349,138102,1,18.001,15,18,0.135,,,,,
0.24274,138583,1,18.063,15,18.062,0.13547,,,,,
0.24219,139063,1,18.126,15,18.125,0.13594,,,,,
0.24184,139544,1,18.188,15,18.188,0.13641,,,,,
0.24166,140024,1,18.251,15,18.25,0.13688,,,,,
0.24164,140505,1,18.313,15,18.312,0.13734,,,,,
0.24175,140985,1,18.376,15,18.375,0.13781,,,,,
0.24198,141466,1,18.438,15,18.438,0.13828,,,,,
0.2423,141946,1,18.501,15,18.5,0.13875,,,,,
0.2427,142427,1,18.563,15,18.562,0.13922,,,,,
0.24316,142908,1,18.626,15,18.625,0.13969,,,,,
0.24368,143388,1,18.688,15,18.688,0.14016,,,,,
0.24425,143869,1,18.751,15,18.75,0.14062,,,,,
0.2449,144349,1,18.813,15,18.812,0.14109,,,,,
0.24564,144830,1,18.876,15,18.875,0.14156,,,,,
0.24654,145310,1,18.938,15,18.938,0.14203,,,,,
0.24768,145791,1,19.001,15,19,0.1425,,,,,
0.24915,146271,1,19.063,15,19.062,0.14297,,,,,
0.25105,146752,1,19.126,15,19.125,0.14344,,,,,
0.25343,147232,1,19.188,15,19.188,0.14391,,,,,
0.25624,147713,1,19.251,15,19.25,0.14438,,,,,
0.25924,148193,1,19.313,15,19.312,0.14484,,,,,
0.26194,148674,1,19.376,15,19.375,0.14531,,,,,
0.26339,149155,1,19.438,15,19.438,0.14578,,,,,
0.26217,149635,1,19.501,15,19.5,0.14625,,,,,
0.25628,150116,1,19.563,15,19.562,0.14672,,,,,
0.24329,150596,1,19.626,15,19.625,0.14719,,,,,
0.22066,151077,1,19.688,15,19.688,0.14766,,,,,
0.18644,151557,1,19.751,15,19.75,0.14813,,,,,
0.14048,152038,1,19.813,15,19.812,0.14859,,,,,
0.086287,152518,1,19.876,15,19.875,0.14906,,,,,
0.03334,152999,1,19.938,15,19.938,0.14953,,,,,
0,153479,1,20.001,15,20,0.15,,,,,
