Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
2.81659e-04,-2.81659e-04,-1.44379e-04,-2.07824e-21,1.92864e+00,-7.56950e-01,-1.01535e+00,1,2.80000e-02,3.00000e-01,2.80000e-02,2.00000e-03
2.77895e-04,-2.77895e-04,-1.43878e-04,-2.08271e-21,1.92763e+00,-7.53258e-01,-1.01536e+00,1,2.84000e-02,3.00000e-01,2.84000e-02,2.00000e-03
2.74140e-04,-2.74140e-04,-1.43334e-04,-1.80442e-21,1.92663e+00,-7.49567e-01,-1.01537e+00,1,2.88000e-02,3.00000e-01,2.88000e-02,2.00000e-03
2.70347e-04,-2.70347e-04,-1.42681e-04,-1.01530e-21,1.92562e+00,-7.45875e-01,-1.01538e+00,1,2.92000e-02,3.00000e-01,2.92000e-02,2.00000e-03
2.66518e-04,-2.66518e-04,-1.41920e-04,-3.03992e-22,1.92461e+00,-7.42183e-01,-1.01540e+00,1,2.96000e-02,3.00000e-01,2.96000e-02,2.00000e-03
2.62697e-04,-2.62697e-04,-1.41116e-04,3.53243e-22,1.92361e+00,-7.38491e-01,-1.01541e+00,1,3.00000e-02,3.00000e-01,3.00000e-02,2.00000e-03
2.58796e-04,-2.58796e-04,-1.40139e-04,7.43588e-22,1.92260e+00,-7.34799e-01,-1.01542e+00,1,3.04000e-02,3.00000e-01,3.04000e-02,2.00000e-03
2.54903e-04,-2.54903e-04,-1.39119e-04,1.04196e-21,1.92159e+00,-7.31106e-01,-1.01543e+00,1,3.08000e-02,3.00000e-01,3.08000e-02,2.00000e-03
2.50974e-04,-2.50974e-04,-1.37986e-04,1.06176e-21,1.92059e+00,-7.27414e-01,-1.01544e+00,1,3.12000e-02,3.00000e-01,3.12000e-02,2.00000e-03
2.46989e-04,-2.46989e-04,-1.36701e-04,5.75467e-22,1.91958e+00,-7.23721e-01,-1.01546e+00,1,3.16000e-02,3.00000e-01,3.16000e-02,2.00000e-03
2.43015e-04,-2.43015e-04,-1.35373e-04,-5.47690e-23,1.91857e+00,-7.20028e-01,-1.01547e+00,1,3.20000e-02,3.00000e-01,3.20000e-02,2.00000e-03
2.38963e-04,-2.38963e-04,-1.33873e-04,-1.20052e-22,1.91757e+00,-7.16335e-01,-1.01548e+00,1,3.24000e-02,3.00000e-01,3.24000e-02,2.00000e-03
2.34921e-04,-2.34921e-04,-1.32332e-04,-2.14212e-22,1.91656e+00,-7.12642e-01,-1.01550e+00,1,3.28000e-02,3.00000e-01,3.28000e-02,2.00000e-03
2.30845e-04,-2.30845e-04,-1.30684e-04,-4.04603e-22,1.91556e+00,-7.08949e-01,-1.01551e+00,1,3.32000e-02,3.00000e-01,3.32000e-02,2.00000e-03
2.26738e-04,-2.26738e-04,-1.28931e-04,-1.10980e-21,1.91455e+00,-7.05255e-01,-1.01552e+00,1,3.36000e-02,3.00000e-01,3.36000e-02,2.00000e-03
2.22640e-04,-2.22640e-04,-1.27136e-04,-2.07489e-21,1.91354e+00,-7.01562e-01,-1.01554e+00,1,3.40000e-02,3.00000e-01,3.40000e-02,2.00000e-03
2.18467e-04,-2.18467e-04,-1.25174e-04,-3.09161e-21,1.91254e+00,-6.97868e-01,-1.01555e+00,1,3.44000e-02,3.00000e-01,3.44000e-02,2.00000e-03
2.14305e-04,-2.14305e-04,-1.23170e-04,-4.03319e-21,1.91153e+00,-6.94174e-01,-1.01557e+00,1,3.48000e-02,3.00000e-01,3.48000e-02,2.00000e-03
2.10110e-04,-2.10110e-04,-1.21064e-04,-4.82558e-21,1.91053e+00,-6.90480e-01,-1.01558e+00,1,3.52000e-02,3.00000e-01,3.52000e-02,2.00000e-03
2.05884e-04,-2.05884e-04,-1.18855e-04,-5.24600e-21,1.90952e+00,-6.86785e-01,-1.01559e+00,1,3.56000e-02,3.00000e-01,3.56000e-02,2.00000e-03
2.01668e-04,-2.01668e-04,-1.16605e-04,-5.45927e-21,1.90852e+00,-6.83091e-01,-1.01561e+00,1,3.60000e-02,3.00000e-01,3.60000e-02,2.00000e-03
1.97369e-04,-1.97369e-04,-1.14171e-04,-4.64556e-21,1.90751e+00,-6.79396e-01,-1.01562e+00,1,3.64000e-02,3.00000e-01,3.64000e-02,2.00000e-03
1.93070e-04,-1.93070e-04,-1.11674e-04,-3.56154e-21,1.90651e+00,-6.75701e-01,-1.01564e+00,1,3.68000e-02,3.00000e-01,3.68000e-02,2.00000e-03
1.88740e-04,-1.88740e-04,-1.09079e-04,-2.26620e-21,1.90550e+00,-6.72006e-01,-1.01565e+00,1,3.72000e-02,3.00000e-01,3.72000e-02,2.00000e-03
