x_velocity,y_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-5.60530e-02,-7.16700e-02,1,7.48000e+00,3.00000e+01,7.48000e+00,5.00000e+00
-5.61164e-02,-7.12398e-02,1,7.52000e+00,3.00000e+01,7.52000e+00,5.00000e+00
-5.61799e-02,-7.08097e-02,1,7.56000e+00,3.00000e+01,7.56000e+00,5.00000e+00
-5.62397e-02,-7.03851e-02,1,7.60000e+00,3.00000e+01,7.60000e+00,5.00000e+00
-5.62858e-02,-6.99822e-02,1,7.64000e+00,3.00000e+01,7.64000e+00,5.00000e+00
-5.63318e-02,-6.95793e-02,1,7.68000e+00,3.00000e+01,7.68000e+00,5.00000e+00
-5.63660e-02,-6.91617e-02,1,7.72000e+00,3.00000e+01,7.72000e+00,5.00000e+00
-5.63505e-02,-6.86827e-02,1,7.76000e+00,3.00000e+01,7.76000e+00,5.00000e+00
-5.63350e-02,-6.82038e-02,1,7.80000e+00,3.00000e+01,7.80000e+00,5.00000e+00
-5.63195e-02,-6.77249e-02,1,7.84000e+00,3.00000e+01,7.84000e+00,5.00000e+00
-5.63062e-02,-6.72566e-02,1,7.88000e+00,3.00000e+01,7.88000e+00,5.00000e+00
-5.63016e-02,-6.68295e-02,1,7.92000e+00,3.00000e+01,7.92000e+00,5.00000e+00
-5.62703e-02,-6.63662e-02,1,7.96000e+00,3.00000e+01,7.96000e+00,5.00000e+00
-5.62076e-02,-6.58605e-02,1,8.00000e+00,3.00000e+01,8.00000e+00,5.00000e+00
-5.61704e-02,-6.54178e-02,1,8.04000e+00,3.00000e+01,8.04000e+00,5.00000e+00
-5.61314e-02,-6.49726e-02,1,8.08000e+00,3.00000e+01,8.08000e+00,5.00000e+00
-5.60419e-02,-6.44542e-02,1,8.12000e+00,3.00000e+01,8.12000e+00,5.00000e+00
-5.59530e-02,-6.39763e-02,1,8.16000e+00,3.00000e+01,8.16000e+00,5.00000e+00
