Result,U:0,U:1,U:2,SA,p_rgh,rhok,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-3.88514e-04,3.88514e-04,-3.11182e-04,-1.04018e-18,1.21036e+00,6.52569e-06,9.51585e-01,1,3.15600e-01,3.00000e-01,3.15600e-01,2.00000e-03
-3.92817e-04,3.92817e-04,-3.14182e-04,-1.07764e-18,1.20934e+00,6.58230e-06,9.51626e-01,1,3.16000e-01,3.00000e-01,3.16000e-01,2.00000e-03
-3.96746e-04,3.96746e-04,-3.16951e-04,-1.01601e-18,1.20831e+00,6.64443e-06,9.51667e-01,1,3.16400e-01,3.00000e-01,3.16400e-01,2.00000e-03
-4.00622e-04,4.00622e-04,-3.19665e-04,-9.61038e-19,1.20729e+00,6.70740e-06,9.51709e-01,1,3.16800e-01,3.00000e-01,3.16800e-01,2.00000e-03
-4.04444e-04,4.04444e-04,-3.22323e-04,-9.12732e-19,1.20626e+00,6.77121e-06,9.51750e-01,1,3.17200e-01,3.00000e-01,3.17200e-01,2.00000e-03
-4.07952e-04,4.07952e-04,-3.24796e-04,-8.52681e-19,1.20523e+00,6.83924e-06,9.51791e-01,1,3.17600e-01,3.00000e-01,3.17600e-01,2.00000e-03
-4.11099e-04,4.11099e-04,-3.27038e-04,-7.92965e-19,1.20420e+00,6.91254e-06,9.51832e-01,1,3.18000e-01,3.00000e-01,3.18000e-01,2.00000e-03
-4.14156e-04,4.14156e-04,-3.29199e-04,-7.44644e-19,1.20318e+00,6.98715e-06,9.51873e-01,1,3.18400e-01,3.00000e-01,3.18400e-01,2.00000e-03
-4.16993e-04,4.16993e-04,-3.31225e-04,-7.23840e-19,1.20215e+00,7.06451e-06,9.51914e-01,1,3.18800e-01,3.00000e-01,3.18800e-01,2.00000e-03
-4.19456e-04,4.19456e-04,-3.33042e-04,-7.38446e-19,1.20112e+00,7.14645e-06,9.51955e-01,1,3.19200e-01,3.00000e-01,3.19200e-01,2.00000e-03
-4.21850e-04,4.21850e-04,-3.34786e-04,-7.52553e-19,1.20009e+00,7.22935e-06,9.51997e-01,1,3.19600e-01,3.00000e-01,3.19600e-01,2.00000e-03
-4.24174e-04,4.24174e-04,-3.36457e-04,-7.66159e-19,1.19906e+00,7.31323e-06,9.52038e-01,1,3.20000e-01,3.00000e-01,3.20000e-01,2.00000e-03
-4.25906e-04,4.25906e-04,-3.37836e-04,-7.84068e-19,1.19802e+00,7.40377e-06,9.52079e-01,1,3.20400e-01,3.00000e-01,3.20400e-01,2.00000e-03
-4.27566e-04,4.27566e-04,-3.39136e-04,-7.95461e-19,1.19699e+00,7.49531e-06,9.52120e-01,1,3.20800e-01,3.00000e-01,3.20800e-01,2.00000e-03
-4.29154e-04,4.29154e-04,-3.40355e-04,-8.00329e-19,1.19596e+00,7.58785e-06,9.52161e-01,1,3.21200e-01,3.00000e-01,3.21200e-01,2.00000e-03
-4.30281e-04,4.30281e-04,-3.41345e-04,-7.75637e-19,1.19493e+00,7.68532e-06,9.52203e-01,1,3.21600e-01,3.00000e-01,3.21600e-01,2.00000e-03
-4.31141e-04,4.31141e-04,-3.42175e-04,-7.34402e-19,1.19390e+00,7.78579e-06,9.52244e-01,1,3.22000e-01,3.00000e-01,3.22000e-01,2.00000e-03
-4.31927e-04,4.31927e-04,-3.42919e-04,-6.88434e-19,1.19287e+00,7.88729e-06,9.52285e-01,1,3.22400e-01,3.00000e-01,3.22400e-01,2.00000e-03
-4.32427e-04,4.32427e-04,-3.43501e-04,-6.45572e-19,1.19183e+00,7.99184e-06,9.52327e-01,1,3.22800e-01,3.00000e-01,3.22800e-01,2.00000e-03
-4.32428e-04,4.32428e-04,-3.43843e-04,-6.17568e-19,1.19080e+00,8.10147e-06,9.52368e-01,1,3.23200e-01,3.00000e-01,3.23200e-01,2.00000e-03
-4.32196e-04,4.32196e-04,-3.44000e-04,-5.87701e-19,1.18977e+00,8.21419e-06,9.52409e-01,1,3.23600e-01,3.00000e-01,3.23600e-01,2.00000e-03
-4.31757e-04,4.31757e-04,-3.43992e-04,-5.57697e-19,1.18873e+00,8.32961e-06,9.52451e-01,1,3.24000e-01,3.00000e-01,3.24000e-01,2.00000e-03
-4.30552e-04,4.30552e-04,-3.43652e-04,-6.10212e-19,1.18770e+00,8.45220e-06,9.52492e-01,1,3.24400e-01,3.00000e-01,3.24400e-01,2.00000e-03
-4.29264e-04,4.29264e-04,-3.43215e-04,-6.67647e-19,1.18666e+00,8.57588e-06,9.52533e-01,1,3.24800e-01,3.00000e-01,3.24800e-01,2.00000e-03
-4.27892e-04,4.27892e-04,-3.42681e-04,-7.30006e-19,1.18563e+00,8.70064e-06,9.52575e-01,1,3.25200e-01,3.00000e-01,3.25200e-01,2.00000e-03
-4.25954e-04,4.25954e-04,-3.41887e-04,-8.25217e-19,1.18460e+00,8.83058e-06,9.52616e-01,1,3.25600e-01,3.00000e-01,3.25600e-01,2.00000e-03
-4.23692e-04,4.23692e-04,-3.40913e-04,-9.35242e-19,1.18356e+00,8.96366e-06,9.52658e-01,1,3.26000e-01,3.00000e-01,3.26000e-01,2.00000e-03
-4.21344e-04,4.21344e-04,-3.39839e-04,-1.04531e-18,1.18253e+00,9.09784e-06,9.52699e-01,1,3.26400e-01,3.00000e-01,3.26400e-01,2.00000e-03
-4.18662e-04,4.18662e-04,-3.38582e-04,-1.14001e-18,1.18149e+00,9.23514e-06,9.52740e-01,1,3.26800e-01,3.00000e-01,3.26800e-01,2.00000e-03
-4.15395e-04,4.15395e-04,-3.37059e-04,-1.19609e-18,1.18046e+00,9.37759e-06,9.52782e-01,1,3.27200e-01,3.00000e-01,3.27200e-01,2.00000e-03
-4.12041e-04,4.12041e-04,-3.35434e-04,-1.24042e-18,1.17943e+00,9.52116e-06,9.52823e-01,1,3.27600e-01,3.00000e-01,3.27600e-01,2.00000e-03
-4.08601e-04,4.08601e-04,-3.33707e-04,-1.27297e-18,1.17839e+00,9.66584e-06,9.52864e-01,1,3.28000e-01,3.00000e-01,3.28000e-01,2.00000e-03
-4.04310e-04,4.04310e-04,-3.31626e-04,-1.22871e-18,1.17736e+00,9.81758e-06,9.52906e-01,1,3.28400e-01,3.00000e-01,3.28400e-01,2.00000e-03
-3.99930e-04,3.99930e-04,-3.29442e-04,-1.17264e-18,1.17632e+00,9.97043e-06,9.52947e-01,1,3.28800e-01,3.00000e-01,3.28800e-01,2.00000e-03
-3.95328e-04,3.95328e-04,-3.27072e-04,-1.08715e-18,1.17529e+00,1.01260e-05,9.52988e-01,1,3.29200e-01,3.00000e-01,3.29200e-01,2.00000e-03
-3.89940e-04,3.89940e-04,-3.24313e-04,-9.38268e-19,1.17426e+00,1.02887e-05,9.53030e-01,1,3.29600e-01,3.00000e-01,3.29600e-01,2.00000e-03
-3.84207e-04,3.84207e-04,-3.21364e-04,-7.85743e-19,1.17322e+00,1.04544e-05,9.53071e-01,1,3.30000e-01,3.00000e-01,3.30000e-01,2.00000e-03
-3.78385e-04,3.78385e-04,-3.18310e-04,-6.50532e-19,1.17219e+00,1.06211e-05,9.53112e-01,1,3.30400e-01,3.00000e-01,3.30400e-01,2.00000e-03
-3.72223e-04,3.72223e-04,-3.15064e-04,-5.24299e-19,1.17116e+00,1.07908e-05,9.53154e-01,1,3.30800e-01,3.00000e-01,3.30800e-01,2.00000e-03
-3.65466e-04,3.65466e-04,-3.11541e-04,-4.01492e-19,1.17013e+00,1.09652e-05,9.53195e-01,1,3.31200e-01,3.00000e-01,3.31200e-01,2.00000e-03
-3.58620e-04,3.58620e-04,-3.07915e-04,-3.00203e-19,1.16910e+00,1.11406e-05,9.53236e-01,1,3.31600e-01,3.00000e-01,3.31600e-01,2.00000e-03
-3.51684e-04,3.51684e-04,-3.04186e-04,-2.20460e-19,1.16806e+00,1.13172e-05,9.53277e-01,1,3.32000e-01,3.00000e-01,3.32000e-01,2.00000e-03
-3.43926e-04,3.43926e-04,-3.00090e-04,-1.67331e-19,1.16703e+00,1.14999e-05,9.53319e-01,1,3.32400e-01,3.00000e-01,3.32400e-01,2.00000e-03
-3.36077e-04,3.36077e-04,-2.95894e-04,-1.27934e-19,1.16600e+00,1.16837e-05,9.53360e-01,1,3.32800e-01,3.00000e-01,3.32800e-01,2.00000e-03
