x_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-6.29139e-02,1,5.88000e+00,3.00000e+01,5.88000e+00,0.00000e+00
-6.34613e-02,1,5.92000e+00,3.00000e+01,5.92000e+00,0.00000e+00
-6.40150e-02,1,5.96000e+00,3.00000e+01,5.96000e+00,0.00000e+00
-6.45752e-02,1,6.00000e+00,3.00000e+01,6.00000e+00,0.00000e+00
-6.50613e-02,1,6.04000e+00,3.00000e+01,6.04000e+00,0.00000e+00
-6.55537e-02,1,6.08000e+00,3.00000e+01,6.08000e+00,0.00000e+00
-6.60523e-02,1,6.12000e+00,3.00000e+01,6.12000e+00,0.00000e+00
-6.64551e-02,1,6.16000e+00,3.00000e+01,6.16000e+00,0.00000e+00
-6.68374e-02,1,6.20000e+00,3.00000e+01,6.20000e+00,0.00000e+00
-6.72257e-02,1,6.24000e+00,3.00000e+01,6.24000e+00,0.00000e+00
-6.76200e-02,1,6.28000e+00,3.00000e+01,6.28000e+00,0.00000e+00
-6.80203e-02,1,6.32000e+00,3.00000e+01,6.32000e+00,0.00000e+00
-6.84266e-02,1,6.36000e+00,3.00000e+01,6.36000e+00,0.00000e+00
-6.88389e-02,1,6.40000e+00,3.00000e+01,6.40000e+00,0.00000e+00
-6.90929e-02,1,6.44000e+00,3.00000e+01,6.44000e+00,0.00000e+00
-6.93092e-02,1,6.48000e+00,3.00000e+01,6.48000e+00,0.00000e+00
-6.95309e-02,1,6.52000e+00,3.00000e+01,6.52000e+00,0.00000e+00
-6.97580e-02,1,6.56000e+00,3.00000e+01,6.56000e+00,0.00000e+00
-6.99904e-02,1,6.60000e+00,3.00000e+01,6.60000e+00,0.00000e+00
-7.02283e-02,1,6.64000e+00,3.00000e+01,6.64000e+00,0.00000e+00
-7.04715e-02,1,6.68000e+00,3.00000e+01,6.68000e+00,0.00000e+00
-7.07201e-02,1,6.72000e+00,3.00000e+01,6.72000e+00,0.00000e+00
-7.09742e-02,1,6.76000e+00,3.00000e+01,6.76000e+00,0.00000e+00
-7.11774e-02,1,6.80000e+00,3.00000e+01,6.80000e+00,0.00000e+00
-7.11997e-02,1,6.84000e+00,3.00000e+01,6.84000e+00,0.00000e+00
-7.11846e-02,1,6.88000e+00,3.00000e+01,6.88000e+00,0.00000e+00
-7.11726e-02,1,6.92000e+00,3.00000e+01,6.92000e+00,0.00000e+00
-7.11657e-02,1,6.96000e+00,3.00000e+01,6.96000e+00,0.00000e+00
-7.11641e-02,1,7.00000e+00,3.00000e+01,7.00000e+00,0.00000e+00
-7.11677e-02,1,7.04000e+00,3.00000e+01,7.04000e+00,0.00000e+00
-7.11765e-02,1,7.08000e+00,3.00000e+01,7.08000e+00,0.00000e+00
-7.11906e-02,1,7.12000e+00,3.00000e+01,7.12000e+00,0.00000e+00
-7.12100e-02,1,7.16000e+00,3.00000e+01,7.16000e+00,0.00000e+00
-7.12346e-02,1,7.20000e+00,3.00000e+01,7.20000e+00,0.00000e+00
