x,y,z,U_0,U_1,U_2,U_0m
0.3,0.210033445,0.002,4.05517178E-05,2.13733999E-05,-6.97060667E-20,-4.05517178E-05
0.3,0.211371237,0.002,3.7920905E-05,1.93802256E-05,-3.00880965E-19,-3.7920905E-05
0.3,0.21270903,0.002,3.57287137E-05,1.73347583E-05,-2.15432919E-19,-3.57287137E-05
0.3,0.214046823,0.002,3.39803105E-05,1.52257271E-05,-7.70160353E-20,-3.39803105E-05
0.3,0.215384615,0.002,3.26538993E-05,1.30755862E-05,-2.4735091E-20,-3.26538993E-05
0.3,0.216722408,0.002,3.17426205E-05,1.087085E-05,3.52501695E-20,-3.17426205E-05
0.3,0.218060201,0.002,3.12504456E-05,8.64010392E-06,2.65253548E-19,-3.12504456E-05
0.3,0.219397993,0.002,3.10746771E-05,6.3460742E-06,2.37084374E-19,-3.10746771E-05
0.3,0.220735786,0.002,3.10759363E-05,4.04707029E-06,1.49137869E-19,-3.10759363E-05
0.3,0.222073579,0.002,3.11990976E-05,1.68420557E-06,2.53074608E-20,-3.11990976E-05
0.3,0.223411371,0.002,3.15543397E-05,-7.10702567E-07,1.63128966E-19,-3.15543397E-05
0.3,0.224749164,0.002,3.25517141E-05,-3.28628757E-06,2.86774163E-19,-3.25517141E-05
0.3,0.226086957,0.002,3.43483344E-05,-6.12094107E-06,1.14435994E-19,-3.43483344E-05
0.3,0.227424749,0.002,3.65189947E-05,-9.10729075E-06,-5.63358154E-20,-3.65189947E-05
0.3,0.228762542,0.002,3.9002764E-05,-1.22239984E-05,4.20320089E-22,-3.9002764E-05
0.3,0.230100334,0.002,4.16976546E-05,-1.54624586E-05,2.08828393E-19,-4.16976546E-05
0.3,0.231438127,0.002,4.46056965E-05,-1.88287746E-05,9.51910369E-19,-4.46056965E-05
0.3,0.23277592,0.002,4.77811104E-05,-2.23606321E-05,1.08632409E-18,-4.77811104E-05
0.3,0.234113712,0.002,5.12401034E-05,-2.60068887E-05,3.63169189E-19,-5.12401034E-05
0.3,0.235451505,0.002,5.50062337E-05,-2.97368219E-05,2.75185525E-20,-5.50062337E-05
0.3,0.236789298,0.002,5.90554895E-05,-3.35167345E-05,-6.72388461E-20,-5.90554895E-05
0.3,0.23812709,0.002,6.343505E-05,-3.73251026E-05,8.95788486E-20,-6.343505E-05
0.3,0.239464883,0.002,6.81571768E-05,-4.11316887E-05,4.19876094E-19,-6.81571768E-05
0.3,0.240802676,0.002,7.3149417E-05,-4.48870711E-05,2.46261596E-19,-7.3149417E-05
0.3,0.242140468,0.002,7.82737849E-05,-4.85660083E-05,7.2097134E-21,-7.82737849E-05
0.3,0.243478261,0.002,8.34135744E-05,-5.21611799E-05,-1.52409414E-19,-8.34135744E-05
0.3,0.244816054,0.002,8.84965524E-05,-5.56443907E-05,-2.30657081E-19,-8.84965524E-05
0.3,0.246153846,0.002,9.33828874E-05,-5.89501642E-05,2.30186708E-19,-9.33828874E-05
0.3,0.247491639,0.002,9.79810813E-05,-6.20459124E-05,4.16714721E-19,-9.79810813E-05
0.3,0.248829431,0.002,0.000102227185,-6.49170405E-05,1.52643984E-19,-0.000102227185
0.3,0.250167224,0.002,0.000106114497,-6.75733913E-05,2.05098838E-19,-0.000106114497
0.3,0.251505017,0.002,0.000109582323,-6.99820448E-05,4.31587702E-19,-0.000109582323
0.3,0.252842809,0.002,0.000112451141,-7.2029391E-05,9.29716298E-20,-0.000112451141
0.3,0.254180602,0.002,0.000114729757,-7.37223938E-05,3.00077344E-20,-0.000114729757
0.3,0.255518395,0.002,0.00011641853,-7.50597555E-05,1.55152887E-20,-0.00011641853
0.3,0.256856187,0.002,0.000117601014,-7.6089157E-05,-9.03588681E-20,-0.000117601014
0.3,0.25819398,0.002,0.000118244667,-7.6785584E-05,-4.81854621E-20,-0.000118244667
0.3,0.259531773,0.002,0.000118175913,-7.70270461E-05,-1.40744116E-20,-0.000118175913
0.3,0.260869565,0.002,0.000117511816,-7.6898719E-05,-6.58756492E-20,-0.000117511816
0.3,0.262207358,0.002,0.000116279754,-7.64257545E-05,-9.24772642E-21,-0.000116279754
0.3,0.263545151,0.002,0.000114604465,-7.56868118E-05,-1.64894673E-19,-0.000114604465
0.3,0.264882943,0.002,0.000112454057,-7.46677251E-05,-1.40475753E-19,-0.000112454057
0.3,0.266220736,0.002,0.000109784443,-7.3345474E-05,2.08999922E-19,-0.000109784443
0.3,0.267558528,0.002,0.000106734028,-7.18318316E-05,-9.34024595E-21,-0.000106734028
0.3,0.268896321,0.002,0.000103376222,-7.0187217E-05,-7.14799194E-21,-0.000103376222
0.3,0.270234114,0.002,9.98387907E-05,-6.84777997E-05,-3.06560124E-19,-9.98387907E-05
