Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
7.88082e-04,-7.88082e-04,1.72331e-04,1.37796e-21,1.01717e+00,3.70015e+00,-8.33851e-02,1,3.94400e-01,3.00000e-01,3.94400e-01,2.00000e-03
7.94276e-04,-7.94276e-04,1.58593e-04,1.03581e-21,1.01626e+00,3.70398e+00,-8.35287e-02,1,3.94800e-01,3.00000e-01,3.94800e-01,2.00000e-03
7.98365e-04,-7.98365e-04,1.44259e-04,1.05641e-21,1.01534e+00,3.70782e+00,-8.36742e-02,1,3.95200e-01,3.00000e-01,3.95200e-01,2.00000e-03
8.02296e-04,-8.02296e-04,1.29990e-04,9.19474e-22,1.01442e+00,3.71166e+00,-8.38198e-02,1,3.95600e-01,3.00000e-01,3.95600e-01,2.00000e-03
8.06069e-04,-8.06069e-04,1.15783e-04,6.24733e-22,1.01349e+00,3.71550e+00,-8.39658e-02,1,3.96000e-01,3.00000e-01,3.96000e-01,2.00000e-03
7.87651e-04,-7.87651e-04,1.01032e-04,1.48159e-21,1.01252e+00,3.71933e+00,-8.41211e-02,1,3.96400e-01,3.00000e-01,3.96400e-01,2.00000e-03
7.69479e-04,-7.69479e-04,8.62725e-05,2.08239e-21,1.01154e+00,3.72317e+00,-8.42767e-02,1,3.96800e-01,3.00000e-01,3.96800e-01,2.00000e-03
7.51432e-04,-7.51432e-04,7.16106e-05,2.52083e-21,1.01055e+00,3.72701e+00,-8.44326e-02,1,3.97200e-01,3.00000e-01,3.97200e-01,2.00000e-03
7.01248e-04,-7.01248e-04,5.78725e-05,2.15006e-21,1.00946e+00,3.73085e+00,-8.46064e-02,1,3.97600e-01,3.00000e-01,3.97600e-01,2.00000e-03
6.35665e-04,-6.35665e-04,4.46615e-05,1.49604e-21,1.00831e+00,3.73469e+00,-8.47892e-02,1,3.98000e-01,3.00000e-01,3.98000e-01,2.00000e-03
5.70932e-04,-5.70932e-04,3.15726e-05,9.27356e-22,1.00716e+00,3.73853e+00,-8.49722e-02,1,3.98400e-01,3.00000e-01,3.98400e-01,2.00000e-03
5.11981e-04,-5.11981e-04,2.09557e-05,3.90333e-22,1.00618e+00,3.74204e+00,-8.51283e-02,1,3.98800e-01,3.00000e-01,3.98800e-01,2.00000e-03
4.63639e-04,-4.63639e-04,1.51239e-05,-1.16685e-22,1.00554e+00,3.74492e+00,-8.52301e-02,1,3.99200e-01,3.00000e-01,3.99200e-01,2.00000e-03
4.15985e-04,-4.15985e-04,9.35824e-06,-4.59913e-22,1.00491e+00,3.74780e+00,-8.53319e-02,1,3.99600e-01,3.00000e-01,3.99600e-01,2.00000e-03
3.69024e-04,-3.69024e-04,3.65915e-06,-6.39063e-22,1.00427e+00,3.75068e+00,-8.54339e-02,1,4.00000e-01,3.00000e-01,4.00000e-01,2.00000e-03
